names,years,num_trips
Duffield St & Willoughby St,2014,6683
Duffield St & Willoughby St,2015,7518
Duffield St & Willoughby St,2016,8503
E 10 St & 5 Ave,2013,16102
E 10 St & 5 Ave,2014,29195
E 10 St & 5 Ave,2015,29975
E 10 St & 5 Ave,2016,23048
E 10 St & Avenue A,2013,20118
E 10 St & Avenue A,2014,41006
E 10 St & Avenue A,2015,47014
E 10 St & Avenue A,2016,41941
E 102 St & 1 Ave,2016,1612
E 102 St & Park Ave,2016,651
E 103 St & Lexington Ave,2016,993
E 106 St & 1 Ave,2016,784
E 106 St & Lexington Ave,2016,193
E 106 St & Madison Ave,2016,665
E 109 St & 3 Ave,2016,1144
E 11 St & 1 Ave,2013,21417
E 11 St & 1 Ave,2014,31408
E 11 St & 1 Ave,2015,34834
E 11 St & 1 Ave,2016,32947
E 11 St & 2 Ave,2013,23818
E 11 St & 2 Ave,2014,39065
E 11 St & 2 Ave,2015,42528
E 11 St & 2 Ave,2016,38705
E 11 St & Broadway,2013,14757
E 11 St & Broadway,2014,24295
E 11 St & Broadway,2015,23989
E 11 St & Broadway,2016,21596
E 110 St & Madison Ave,2016,2136
E 12 St & 3 Ave,2013,20042
E 12 St & 3 Ave,2014,37538
E 12 St & 3 Ave,2015,44597
E 12 St & 3 Ave,2016,40609
E 13 St & Avenue A,2013,19955
E 13 St & Avenue A,2014,33827
E 13 St & Avenue A,2015,36304
E 13 St & Avenue A,2016,33225
E 14 St & Avenue B,2013,15100
E 14 St & Avenue B,2014,30908
E 14 St & Avenue B,2015,49620
E 14 St & Avenue B,2016,41807
E 15 St & 3 Ave,2013,17442
E 15 St & 3 Ave,2014,29743
E 15 St & 3 Ave,2015,41145
E 15 St & 3 Ave,2016,36598
E 16 St & 5 Ave,2013,17341
E 16 St & 5 Ave,2014,38808
E 16 St & 5 Ave,2015,45945
E 16 St & 5 Ave,2016,41984
E 16 St & Irving Pl,2013,20717
E 16 St & Irving Pl,2014,26953
E 16 St & Irving Pl,2015,33659
E 16 St & Irving Pl,2016,29813
E 17 St & Broadway,2013,49750
E 17 St & Broadway,2014,80166
E 17 St & Broadway,2015,86108
E 17 St & Broadway,2016,75591
E 19 St & 3 Ave,2013,19918
E 19 St & 3 Ave,2014,28236
E 19 St & 3 Ave,2015,25924
E 19 St & 3 Ave,2016,25138
E 2 St & 2 Ave,2013,16277
E 2 St & 2 Ave,2014,26716
E 2 St & 2 Ave,2015,30612
E 2 St & 2 Ave,2016,12244
E 2 St & Avenue B,2013,19142
E 2 St & Avenue B,2014,27309
E 2 St & Avenue B,2015,35948
E 2 St & Avenue B,2016,33326
E 2 St & Avenue C,2013,9981
E 2 St & Avenue C,2014,17947
E 2 St & Avenue C,2015,20002
E 2 St & Avenue C,2016,20059
E 20 St & 2 Ave,2013,17314
E 20 St & 2 Ave,2014,36533
E 20 St & 2 Ave,2015,43001
E 20 St & 2 Ave,2016,39765
E 20 St & FDR Drive,2013,14777
E 20 St & FDR Drive,2014,24989
E 20 St & FDR Drive,2015,31951
E 20 St & FDR Drive,2016,31714
E 20 St & Park Ave,2013,10550
E 20 St & Park Ave,2014,25845
E 20 St & Park Ave,2015,42243
E 20 St & Park Ave,2016,29457
E 23 St & 1 Ave,2013,19914
E 23 St & 1 Ave,2014,34105
E 23 St & 1 Ave,2015,41103
E 23 St & 1 Ave,2016,34110
E 24 St & Park Ave S,2014,32234
E 24 St & Park Ave S,2015,38834
E 24 St & Park Ave S,2016,34368
E 25 St & 1 Ave,2013,13434
E 25 St & 1 Ave,2014,23608
E 25 St & 1 Ave,2015,28997
E 25 St & 1 Ave,2016,27107
E 25 St & 2 Ave,2013,23327
E 25 St & 2 Ave,2014,30684
E 25 St & 2 Ave,2015,43400
E 25 St & 2 Ave,2016,38259
E 27 St & 1 Ave,2013,8581
E 27 St & 1 Ave,2014,21060
E 27 St & 1 Ave,2015,25972
E 27 St & 1 Ave,2016,26076
E 3 St & 1 Ave,2013,18854
E 3 St & 1 Ave,2014,33940
E 3 St & 1 Ave,2015,36244
E 3 St & 1 Ave,2016,32293
E 30 St & Park Ave S,2013,19595
E 30 St & Park Ave S,2014,33585
E 30 St & Park Ave S,2015,41841
E 30 St & Park Ave S,2016,32538
E 31 St & 3 Ave,2013,21419
E 31 St & 3 Ave,2014,34601
E 31 St & 3 Ave,2015,36180
E 31 St & 3 Ave,2016,30645
E 32 St & Park Ave,2013,26470
E 32 St & Park Ave,2014,43561
E 32 St & Park Ave,2015,48955
E 32 St & Park Ave,2016,46102
E 33 St & 1 Ave,2013,16171
E 33 St & 1 Ave,2014,15768
E 33 St & 2 Ave,2014,2595
E 33 St & 2 Ave,2015,44759
E 33 St & 2 Ave,2016,43075
E 33 St & 5 Ave,2013,12028
E 33 St & 5 Ave,2014,28387
E 33 St & 5 Ave,2015,36644
E 33 St & 5 Ave,2016,33182
E 35 St & 3 Ave,2016,1145
E 37 St & Lexington Ave,2013,11456
E 37 St & Lexington Ave,2014,19634
E 37 St & Lexington Ave,2015,20451
E 37 St & Lexington Ave,2016,5256
E 39 St & 2 Ave,2013,28898
E 39 St & 2 Ave,2014,38635
E 39 St & 2 Ave,2015,47852
E 39 St & 2 Ave,2016,41976
E 39 St & 3 Ave,2013,19951
E 39 St & 3 Ave,2014,34484
E 39 St & 3 Ave,2015,33916
E 39 St & 3 Ave,2016,36310
E 4 St & 2 Ave,2013,21318
E 4 St & 2 Ave,2014,31359
E 4 St & 2 Ave,2015,35818
E 4 St & 2 Ave,2016,23354
E 40 St & 5 Ave,2013,21226
E 40 St & 5 Ave,2014,34336
E 40 St & 5 Ave,2015,27722
E 40 St & 5 Ave,2016,35457
E 40 St & Madison Ave,2015,6860
E 40 St & Madison Ave,2016,85
E 41 St & Madison Ave,2014,18684
E 41 St & Madison Ave,2015,5806
E 41 St & Madison Ave,2016,16878
E 42 St & Vanderbilt Ave,2014,56308
E 43 St & 2 Ave,2013,8448
E 43 St & 2 Ave,2014,11906
